,Table 13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1387,,,Ramapo Town,0,1,0,0,0,0,0,1,0,0,95068
1388,,,Rochester,4,0,1,0,0,0,1,3,1,0,207701
1389,,,Rosendale Town,0,0,0,0,0,1,1,0,0,0,5889
1390,,,Saugerties Town,1,0,0,0,0,0,0,0,1,0,19136
1391,,,Southampton Town,0,1,0,0,0,0,0,0,0,1,51231
1392,,,Spring Valley Village,1,0,0,0,0,0,0,1,0,0,32909
1393,,,Tarrytown Village,0,0,1,0,0,0,0,1,0,0,11617
1394,,,Watervliet,0,0,1,0,0,0,0,0,1,0,10115
1395,,,Westhampton Beach Village,0,1,0,0,0,0,0,1,0,0,1819
1396,,,Yonkers,2,0,0,0,0,0,1,0,1,0,202827
1397,,Universities and Colleges,,6,4,0,0,0,0,,,,,
1398,,,State University of New York Police:  ,,,,,,,,,,,
1399,,,Alfred,1,0,0,0,0,0,1,0,0,0,4198
1400,,,Canton,1,0,0,0,0,0,0,0,0,1,5183
1401,,,Geneseo,1,0,0,0,0,0,1,0,0,0,5941
1402,,,Maritime,0,1,0,0,0,0,0,0,0,1,2007
1403,,,Purchase,0,1,0,0,0,0,0,0,0,1,4815
1404,,,Stony Brook,3,2,0,0,0,0,0,2,2,1,29798
1405,,Metropolitan Counties,,10,21,13,1,1,0,,,,,
1406,,,Dutchess,0,1,2,0,0,0,1,0,2,0,
1407,,,Nassau,5,14,0,0,0,0,3,5,3,8,
1408,,,Ontario,0,0,0,0,1,0,0,0,1,0,
1409,,,Oswego,0,0,1,0,0,0,1,0,0,0,
1410,,,Suffolk County Police Department,5,6,9,1,0,0,7,3,5,6,
1411,,,Westchester Public Safety,0,0,1,0,0,0,0,0,1,0,
1412,,State Police Agencies,,10,9,3,0,0,1,,,,,
1413,,,State Police:,,,,,,,,,,,
1414,,,Cayuga County,1,0,0,0,0,0,0,0,0,1,
1415,,,Clinton County ,1,0,1,0,0,0,0,2,0,0,
1416,,,Dutchess County ,0,0,1,0,0,0,0,0,1,0,
1417,,,Herkimer County,0,2,0,0,0,0,1,1,0,0,
1418,,,Onondaga County ,1,1,0,0,0,0,0,0,0,2,
1419,,,Oswego County ,0,0,1,0,0,0,0,1,0,0,
1420,,,Putnam County ,1,0,0,0,0,0,0,0,1,0,
1421,,,Rockland County,0,1,0,0,0,0,0,0,0,1,
1422,,,Saratoga County ,0,1,0,0,0,0,1,0,0,0,
1423,,,Schoharie County,2,0,0,0,0,0,0,1,1,0,
1424,,,Seneca County,1,0,0,0,0,0,0,1,0,0,
1425,,,Tompkins County ,0,2,0,0,0,0,2,0,0,0,
1426,,,Ulster County ,0,0,0,0,0,1,1,0,0,0,
1427,,,Wayne County ,3,0,0,0,0,0,0,0,3,0,
1428,,,Westchester County ,0,2,0,0,0,0,2,0,0,0,
1429,,Other Agencies,,10,17,2,0,0,0,,,,,
1430,,,"New York City Department of Environmental Protection Police, Eastview Precinct",0,1,1,0,0,0,0,0,0,2,
1431,,,New York City Metropolitan Transportation Authority,9,16,1,0,0,0,6,9,7,4,
1432,,,"State Park, Central Region",1,0,0,0,0,0,0,1,0,0,
1433,North Carolina,Total,,83,27,29,3,0,0,,,,,
1434,,Cities,,70,24,22,2,0,0,,,,,
1435,,,Apex,1,0,0,0,0,0,0,0,0,1,52577
1436,,,Asheville,2,1,0,0,0,0,1,1,1,0,93186
1437,,,Boone,1,0,2,0,0,0,0,0,1,2,19524
1438,,,Carolina Beach,3,0,0,0,0,0,0,1,0,2,6352
1439,,,Cary,0,5,0,0,0,0,0,0,0,5,168700
1440,,,Charlotte-Mecklenburg,13,6,4,1,0,0,6,6,5,6,931235
1441,,,Dunn,0,0,0,1,0,0,0,0,1,0,9793
1442,,,Durham,8,3,1,0,0,0,1,9,0,2,273726
1443,,,Fayetteville,3,0,0,0,0,0,1,1,1,0,210117
1444,,,Greensboro,8,0,3,0,0,0,2,1,4,4,293298
1445,,,Hendersonville,1,0,0,0,0,0,1,0,0,0,14081
1446,,,Hickory,0,1,0,0,0,0,0,0,0,1,40617
1447,,,Hope Mills,1,0,0,0,0,0,0,0,1,0,16219
1448,,,Huntersville,1,1,1,0,0,0,1,0,0,1,57677
1449,,,Jacksonville,1,0,1,0,0,0,1,0,1,0,71715
1450,,,Lexington,1,0,0,0,0,0,0,0,0,1,18754
1451,,,Mocksville,2,0,0,0,0,0,0,0,1,1,5303
1452,,,Mooresville,2,0,1,0,0,0,1,1,1,0,38340
1453,,,Morganton,1,0,1,0,0,0,0,1,1,0,16478
1454,,,New Bern,2,0,0,0,0,0,0,2,0,0,29600
1455,,,Newton,2,0,0,0,0,0,0,0,2,0,13121
1456,,,Pittsboro,3,0,0,0,0,0,1,1,1,0,4289
1457,,,Raleigh,3,4,3,0,0,0,2,1,3,4,472472
1458,,,Roanoke Rapids,4,0,1,0,0,0,1,3,1,0,14664
1459,,,Salisbury,2,0,1,0,0,0,1,0,1,1,33901
1460,,,Southern Shores,0,0,1,0,0,0,0,1,0,0,2907
1461,,,Statesville,0,0,1,0,0,0,0,0,1,0,26975
1462,,,Wilmington,5,3,1,0,0,0,1,4,0,4,120920
1463,,Universities and Colleges,,1,2,1,0,0,0,,,,,
1464,,,Duke University,1,1,0,0,0,0,0,0,1,1,16599
1465,,,East Carolina University,0,1,0,0,0,0,1,0,0,0,32388
1466,,,"University of North Carolina, Wilmington",0,0,1,0,0,0,0,1,0,0,18287
1467,,Metropolitan Counties,,11,1,5,1,0,0,,,,,
1468,,,Buncombe,1,0,0,0,0,0,0,1,0,0,
1469,,,Currituck,0,0,0,1,0,0,0,0,1,0,
1470,,,Forsyth,1,0,1,0,0,0,0,1,0,1,
1471,,,Franklin,2,0,0,0,0,0,0,1,1,0,
