,state,city,race,religion,sexual orientation,disability,gender,gender identity,population,percent per pop
291,Colorado,Trinidad,1.0,0.0,0.0,0.0,0.0,0.0,7947.0,0.012583364791745311
292,Colorado,Woodland Park,1.0,0.0,0.0,0.0,0.0,0.0,7709.0,0.012971851083149565
295,Colorado,"Colorado State University, Fort Collins",1.0,2.0,0.0,0.0,0.0,0.0,36966.0,0.008115565654926148
297,Colorado,Boulder,0.0,0.0,2.0,0.0,0.0,0.0,37921.0,0.00527412251786609
298,Colorado,Colorado Springs,0.0,0.0,2.0,0.0,0.0,0.0,16743.0,0.011945290569193094
316,Connecticut,Berlin,1.0,0.0,0.0,0.0,0.0,0.0,20593.0,0.00485601903559462
317,Connecticut,Bethel,0.0,0.0,0.0,1.0,0.0,0.0,19974.0,0.005006508460999299
318,Connecticut,Bridgeport,4.0,0.0,0.0,0.0,0.0,0.0,146819.0,0.0027244430216797552
319,Connecticut,Bristol,1.0,0.0,0.0,0.0,0.0,0.0,60184.0,0.0016615711817094243
320,Connecticut,Danbury,2.0,0.0,1.0,0.0,0.0,0.0,85818.0,0.00349577011815703
321,Connecticut,East Hartford,1.0,0.0,0.0,0.0,0.0,0.0,50184.0,0.001992666985493384
322,Connecticut,Fairfield,1.0,1.0,0.0,0.0,0.0,0.0,62452.0,0.0032024594888874656
323,Connecticut,Glastonbury,2.0,1.0,1.0,0.0,0.0,0.0,34593.0,0.011563032983551585
324,Connecticut,Groton,0.0,1.0,0.0,0.0,0.0,0.0,9051.0,0.011048502927853277
325,Connecticut,Guilford,1.0,0.0,0.0,0.0,0.0,0.0,22268.0,0.004490749056942698
326,Connecticut,Middletown,4.0,0.0,0.0,0.0,0.0,0.0,46314.0,0.008636697326942177
327,Connecticut,New Haven,5.0,2.0,0.0,0.0,0.0,0.0,131181.0,0.005336138617635176
328,Connecticut,New Milford,1.0,0.0,0.0,0.0,0.0,0.0,26956.0,0.0037097492209526638
329,Connecticut,Norwalk,1.0,1.0,0.0,0.0,0.0,0.0,89442.0,0.0022360859551441158
330,Connecticut,Norwich,6.0,0.0,0.0,0.0,1.0,0.0,39318.0,0.017803550536649882
331,Connecticut,Old Saybrook,5.0,0.0,0.0,0.0,0.0,0.0,10117.0,0.04942176534545814
332,Connecticut,Orange,1.0,0.0,0.0,0.0,0.0,0.0,14002.0,0.007141836880445651
333,Connecticut,Putnam,1.0,0.0,0.0,0.0,0.0,0.0,9325.0,0.010723860589812333
334,Connecticut,Ridgefield,1.0,0.0,0.0,0.0,0.0,0.0,25260.0,0.003958828186856691
335,Connecticut,Rocky Hill,1.0,1.0,0.0,0.0,0.0,0.0,20163.0,0.009919158855329067
336,Connecticut,Southington,1.0,0.0,1.0,0.0,0.0,0.0,43960.0,0.004549590536851684
337,Connecticut,South Windsor,0.0,0.0,1.0,0.0,0.0,0.0,25968.0,0.003850893407270487
338,Connecticut,Stamford,4.0,2.0,2.0,0.0,0.0,0.0,132007.0,0.0060602846818729305
339,Connecticut,Stratford,1.0,0.0,0.0,0.0,0.0,0.0,52472.0,0.0019057783198658334
340,Connecticut,Torrington,2.0,0.0,1.0,0.0,0.0,0.0,34286.0,0.008749927083940966
341,Connecticut,Trumbull,0.0,1.0,0.0,0.0,0.0,0.0,36167.0,0.002764951475101612
342,Connecticut,Vernon,0.0,0.0,1.0,0.0,0.0,0.0,29304.0,0.003412503412503413
343,Connecticut,Waterbury,2.0,0.0,0.0,0.0,0.0,0.0,108378.0,0.0018453929764343316
344,Connecticut,Willimantic,0.0,0.0,1.0,0.0,0.0,0.0,17691.0,0.005652591713300548
345,Connecticut,Windsor,1.0,0.0,0.0,0.0,0.0,0.0,28867.0,0.003464163231371462
346,Connecticut,Woodbridge,1.0,0.0,0.0,0.0,0.0,0.0,8832.0,0.011322463768115942
348,Connecticut,Southern Connecticut State University,1.0,0.0,0.0,0.0,0.0,0.0,11978.0,0.008348639171814994
355,Delaware,Dover,1.0,0.0,0.0,0.0,0.0,0.0,37778.0,0.0026470432526867487
356,Delaware,Felton,1.0,0.0,0.0,0.0,0.0,0.0,1414.0,0.07072135785007072
